source,command,cmd_vx,rows,gyro_abs_max,gyro_abs_p95,gravity_mean_x,gravity_mean_y,gravity_mean_z,raw_action_abs_max,raw_action_abs_p95,sent_action_abs_max,sent_action_abs_p95,q_target_abs_max,q_target_steady_amp_mean,q_target_steady_amp_max,q_target_delta_vs_flat_max,q_target_delta_vs_flat_mean,BL_hip_joint_q_min,BL_hip_joint_q_max,BR_hip_joint_q_min,BR_hip_joint_q_max,FL_hip_joint_q_min,FL_hip_joint_q_max,FR_hip_joint_q_min,FR_hip_joint_q_max,BL_thigh_joint_q_min,BL_thigh_joint_q_max,BR_thigh_joint_q_min,BR_thigh_joint_q_max,FL_thigh_joint_q_min,FL_thigh_joint_q_max,FR_thigh_joint_q_min,FR_thigh_joint_q_max,BL_calf_joint_q_min,BL_calf_joint_q_max,BR_calf_joint_q_min,BR_calf_joint_q_max,FL_calf_joint_q_min,FL_calf_joint_q_max,FR_calf_joint_q_min,FR_calf_joint_q_max
flat_fake,forward_slow,0.07500000298023224,220,0.0,0.0,0.0,0.0,-1.0,5.906818866729736,4.301425170898438,2.006756544113159,1.6867566108703613,0.5016891360282898,0.382742777466774,0.5402398258447647,0.0,0.0,-0.09827349334955215,0.2759625315666199,-0.238516166806221,0.14690932631492615,-0.2592383027076721,0.13650263845920563,-0.017375513911247253,0.23054011166095734,-0.17255225777626038,0.22573691606521606,-0.18058601021766663,0.11666586995124817,-0.1421043872833252,0.11827705800533295,-0.12618917226791382,0.1810666024684906,-0.35476142168045044,0.094025619328022,-0.0786491334438324,0.4057278633117676,-0.4469776153564453,0.0932622104883194,0.0486760288476944,0.5016891360282898
flat_fake,backward_slow,-0.07500000298023224,220,0.0,0.0,0.0,0.0,-1.0,6.133118629455566,4.340400314331054,2.2143757343292236,1.8299262523651123,0.5535939335823059,0.3836322085311015,0.5761011391878128,0.0,0.0,-0.09819827228784561,0.2609943747520447,-0.25078362226486206,0.12351662665605545,-0.156412273645401,0.09113069623708725,0.016896411776542664,0.30000001192092896,-0.191539466381073,0.19564911723136902,-0.1992429494857788,0.1343970000743866,-0.19060413539409637,0.1197030246257782,-0.133673757314682,0.2618189752101898,-0.4187085032463074,0.15739263594150543,-0.07024267315864563,0.298164039850235,-0.47931259870529175,0.053526297211647034,0.11812207102775574,0.5535939335823059
flat_fake,forward_mid,0.11999999731779099,220,0.0,0.0,0.0,0.0,-1.0,6.126348972320557,4.476306080818175,2.21524977684021,1.7253565669059754,0.5538124442100525,0.3881876465554039,0.5151446610689163,0.0,0.0,-0.11157821118831635,0.2362707555294037,-0.23025016486644745,0.09924514591693878,-0.2074269950389862,0.1154484748840332,-0.011938359588384628,0.23253829777240753,-0.1585177481174469,0.15925168991088867,-0.277959942817688,0.12518754601478577,-0.12118344008922577,0.22035333514213562,-0.18463745713233948,0.1980147659778595,-0.38570618629455566,0.12943847477436066,-0.13299298286437988,0.3263689875602722,-0.4376887083053589,0.06297163665294647,0.04264925420284271,0.5359317064285278
flat_fake,backward_mid,-0.11999999731779099,220,0.0,0.0,0.0,0.0,-1.0,5.247898101806641,4.226033997535705,2.0813138484954834,1.7978831052780144,0.5203284621238708,0.37900934368371964,0.5835261940956116,0.0,0.0,-0.09980309009552002,0.2957637906074524,-0.21012911200523376,0.1498935967683792,-0.18570785224437714,0.10634821653366089,-0.031954437494277954,0.26456373929977417,-0.21859830617904663,0.15495240688323975,-0.1641465127468109,0.15214943885803223,-0.16435042023658752,0.06438400596380234,-0.103473961353302,0.24625293910503387,-0.3325501084327698,0.1331380009651184,-0.059320054948329926,0.3705994486808777,-0.4820883870124817,0.10143780708312988,0.06382197141647339,0.5203284621238708
sim_noisy_imu,forward_slow,0.07500000298023224,220,1.311042070388794,0.2536684229969978,-0.00043845410162413664,0.0033646978014241374,-0.9975681245326996,5.806390762329102,4.501776337623596,1.9509968757629395,1.6365460753440857,0.48774921894073486,0.39526452993353206,0.5920005738735199,0.47248178720474243,0.08023540856502774,-0.10476521402597427,0.2544393837451935,-0.2649349868297577,0.1358385980129242,-0.2275199592113495,0.12239401042461395,-0.10250958800315857,0.2581482529640198,-0.163840189576149,0.18063288927078247,-0.2521466612815857,0.10199074447154999,-0.12925143539905548,0.09310267120599747,-0.1764969825744629,0.17922884225845337,-0.392211377620697,0.16374990344047546,-0.09827733039855957,0.2928917706012726,-0.44112807512283325,0.15087249875068665,0.03094622492790222,0.48774921894073486
sim_noisy_imu,backward_slow,-0.07500000298023224,220,1.311042070388794,0.2536684229969978,-0.00043845410162413664,0.0033646978014241374,-0.9975681245326996,6.101816177368164,4.608065223693847,2.380051851272583,1.7657064676284788,0.5950129628181458,0.39570143818855286,0.5208778828382492,0.49016501754522324,0.0728103645707892,-0.13921824097633362,0.2763698101043701,-0.23216992616653442,0.1287277340888977,-0.21519146859645844,0.17108482122421265,-0.015941761434078217,0.29129350185394287,-0.2047472894191742,0.1257963925600052,-0.17624738812446594,0.18670159578323364,-0.17537669837474823,0.10791512578725815,-0.09317198395729065,0.2653059959411621,-0.3741568326950073,0.10234086215496063,-0.09900236129760742,0.3587847948074341,-0.4413709044456482,0.04662388563156128,0.07413507997989655,0.5950129628181458
sim_noisy_imu,forward_mid,0.11999999731779099,220,1.311042070388794,0.2536684229969978,-0.00043845410162413664,0.0033646978014241374,-0.9975681245326996,5.82614803314209,4.429790449142453,2.078090190887451,1.7331111431121826,0.5195225477218628,0.3978777974843979,0.6197555810213089,0.4242571294307709,0.08174289114672181,-0.08933207392692566,0.2836729884147644,-0.2585407495498657,0.1372893899679184,-0.1793309450149536,0.1195831447839737,-0.04471246898174286,0.30000001192092896,-0.164173424243927,0.15631350874900818,-0.28026723861694336,0.07840175181627274,-0.15912899374961853,0.1257469356060028,-0.16279321908950806,0.20860859751701355,-0.3266240358352661,0.12300018221139908,-0.11102595925331116,0.33011412620544434,-0.4336321949958801,0.08248604834079742,-0.1002330332994461,0.5195225477218628
sim_noisy_imu,backward_mid,-0.11999999731779099,220,1.311042070388794,0.2536684229969978,-0.00043845410162413664,0.0033646978014241374,-0.9975681245326996,6.289828300476074,3.998699843883513,2.004201889038086,1.7118463516235352,0.5010504722595215,0.38358125028510887,0.488315224647522,0.5013025999069214,0.07986779413931523,-0.11811039596796036,0.2779671549797058,-0.21137800812721252,0.09658009558916092,-0.18183690309524536,0.16960547864437103,-0.010582685470581055,0.2896586060523987,-0.25185203552246094,0.18135038018226624,-0.21996121108531952,0.16660697758197784,-0.1620648056268692,0.07512596249580383,-0.10878176987171173,0.2348398119211197,-0.3524574637413025,0.13544929027557373,-0.09436198323965073,0.3279186487197876,-0.42392557859420776,0.06438964605331421,0.052880361676216125,0.5010504722595215
real_xsens_calm,forward_slow,0.07500000298023224,220,0.026123227551579475,0.0,0.008561948401091451,-0.008152205431666847,-0.9999284757809206,6.1143999099731445,4.2039928913116436,2.2757303714752197,1.8849129676818848,0.5689325928688049,0.4050991963595152,0.6601458340883255,0.48463074862957,0.07792359441556265,-0.10635156184434891,0.30000001192092896,-0.23369549214839935,0.13266873359680176,-0.21156351268291473,0.1364136040210724,-0.03904067724943161,0.2840697765350342,-0.13756373524665833,0.1599934995174408,-0.18569718301296234,0.1893928200006485,-0.18695591390132904,0.1344626545906067,-0.15940046310424805,0.15578396618366241,-0.3267036974430084,0.13903868198394775,-0.11820665001869202,0.34132134914398193,-0.5689325928688049,0.09121324121952057,0.024879135191440582,0.5475996732711792
real_xsens_calm,backward_slow,-0.07500000298023224,220,0.026123227551579475,0.0,0.008561948401091451,-0.008152205431666847,-0.9999284757809206,6.325803756713867,4.5649498701095546,2.2915537357330322,1.8423181354999536,0.5728884339332581,0.3782016035790245,0.5668533146381378,0.39861832559108734,0.07627184862490002,-0.10258249193429947,0.24402721226215363,-0.2382824569940567,0.09372612833976746,-0.17034420371055603,0.13430917263031006,-0.052951227873563766,0.2820653021335602,-0.24632544815540314,0.1477896124124527,-0.15378133952617645,0.23365841805934906,-0.16873392462730408,0.09721703827381134,-0.1043553277850151,0.202775239944458,-0.34009015560150146,0.13303373754024506,-0.05539301037788391,0.3014005124568939,-0.4373135566711426,0.03141041100025177,0.006035119295120239,0.5728884339332581
