source,command,rows,cmd_vx,gyro_abs_max,gyro_abs_p95,gravity_norm_min,gravity_norm_max,gravity_mean_x,gravity_mean_y,gravity_mean_z,raw_action_abs_max,raw_action_abs_p95,sent_action_abs_max,sent_action_abs_p95,q_target_abs_max,q_target_amp_mean,q_target_amp_max
sim_noisy_imu,forward_slow,456,0.075,1.311042070388794,0.2620929479598999,0.8614944815635681,1.1384203433990479,-0.010913021862506866,0.008349470794200897,-0.9997488260269165,6.57966423034668,4.605997085571289,2.2833139896392822,1.7393790483474731,0.5708284974098206,0.41633132100105286,0.6255594491958618
sim_noisy_imu,backward_slow,456,-0.075,1.311042070388794,0.2620929479598999,0.8614944815635681,1.1384203433990479,-0.010913021862506866,0.008349470794200897,-0.9997488260269165,5.6798014640808105,4.459904670715332,2.442556858062744,1.7860722541809082,0.610639214515686,0.40075579285621643,0.657141923904419
sim_noisy_imu,forward_mid,456,0.12,1.311042070388794,0.2620929479598999,0.8614944815635681,1.1384203433990479,-0.010913021862506866,0.008349470794200897,-0.9997488260269165,6.597407817840576,4.481934547424316,2.2756824493408203,1.6260387897491455,0.5689206123352051,0.40447142720222473,0.6360785365104675
sim_noisy_imu,backward_mid,456,-0.12,1.311042070388794,0.2620929479598999,0.8614944815635681,1.1384203433990479,-0.010913021862506866,0.008349470794200897,-0.9997488260269165,6.61727237701416,4.319187164306641,2.798659086227417,1.9218246936798096,0.6996647715568542,0.40588951110839844,0.6508259773254395
real_xsens_calm,forward_slow,294,0.075,0.4317165017127991,0.001296401023864746,0.9999999403953552,1.0000001192092896,0.008579348213970661,-0.007486309390515089,-0.9999284744262695,5.918575286865234,4.239799976348877,2.1894114017486572,1.698632836341858,0.5473528504371643,0.38532039523124695,0.6652631759643555
real_xsens_calm,backward_slow,294,-0.075,0.4317165017127991,0.001296401023864746,0.9999999403953552,1.0000001192092896,0.008579348213970661,-0.007486309390515089,-0.9999284744262695,6.23670768737793,4.018764972686768,2.2222697734832764,1.8529719114303589,0.5555674433708191,0.40703997015953064,0.5233408212661743
real_xsens_calm,forward_mid,294,0.12,0.4317165017127991,0.001296401023864746,0.9999999403953552,1.0000001192092896,0.008579348213970661,-0.007486309390515089,-0.9999284744262695,5.563759803771973,4.232543468475342,2.1639225482940674,1.6591236591339111,0.5409806370735168,0.3849184215068817,0.4999403953552246
real_xsens_calm,backward_mid,294,-0.12,0.4317165017127991,0.001296401023864746,0.9999999403953552,1.0000001192092896,0.008579348213970661,-0.007486309390515089,-0.9999284744262695,6.352016448974609,4.179418563842773,2.4076945781707764,1.8380615711212158,0.6019236445426941,0.3944765627384186,0.5642791986465454
real_xsens_dynamic,forward_slow,46,0.075,0.4932180643081665,0.34446144104003906,0.9999999403953552,1.0000001192092896,0.008566685952246189,-0.011977897956967354,-0.9980831742286682,6.624950408935547,4.462522506713867,1.2844451665878296,0.9674737453460693,0.3211112916469574,0.19713209569454193,0.3909851610660553
real_xsens_dynamic,backward_slow,46,-0.075,0.4932180643081665,0.34446144104003906,0.9999999403953552,1.0000001192092896,0.008566685952246189,-0.011977897956967354,-0.9980831742286682,5.703334808349609,4.416224479675293,1.8346500396728516,1.374383568763733,0.4586625099182129,0.27331027388572693,0.4568847417831421
real_xsens_dynamic,forward_mid,46,0.12,0.4932180643081665,0.34446144104003906,0.9999999403953552,1.0000001192092896,0.008566685952246189,-0.011977897956967354,-0.9980831742286682,4.425129413604736,3.837878704071045,1.196343183517456,1.0506021976470947,0.299085795879364,0.20897310972213745,0.3354426920413971
real_xsens_dynamic,backward_mid,46,-0.12,0.4932180643081665,0.34446144104003906,0.9999999403953552,1.0000001192092896,0.008566685952246189,-0.011977897956967354,-0.9980831742286682,4.632570743560791,4.391571044921875,1.6636381149291992,1.5400574207305908,0.4159095287322998,0.17372465133666992,0.414131760597229
flat_fake,forward_slow,456,0.075,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,6.716268062591553,4.416512489318848,2.174021005630493,1.7044148445129395,0.5435052514076233,0.4145723283290863,0.728691577911377
flat_fake,backward_slow,456,-0.075,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,6.133118629455566,3.9063403606414795,2.2143757343292236,1.685093641281128,0.5535939335823059,0.07409465312957764,0.07999999821186066
flat_fake,forward_mid,456,0.12,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,6.307310104370117,4.387564182281494,2.21524977684021,1.743935465812683,0.5538124442100525,0.3703822195529938,0.5068352222442627
flat_fake,backward_mid,456,-0.12,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,6.3632917404174805,4.442790508270264,2.197539806365967,1.8073848485946655,0.5493849515914917,0.36225566267967224,0.505215048789978
