source,command,rows,cmd_vx,gyro_abs_max,gyro_abs_p95,gravity_mean_x,gravity_mean_y,gravity_mean_z,raw_action_abs_max,raw_action_abs_p95,sent_action_abs_max,sent_action_abs_p95,q_target_abs_max,q_target_amp_mean,q_target_amp_max
sim_noisy_imu,forward_slow,456,0.075,1.311042070388794,0.2620929479598999,-0.011052083224058151,0.008250767365098,-0.9969961047172546,6.315258026123047,2.757429361343384,2.406745672225952,1.1351932287216187,0.601686418056488,0.40880993008613586,0.5574291348457336
sim_noisy_imu,backward_slow,456,-0.075,1.311042070388794,0.2620929479598999,-0.011052083224058151,0.008250767365098,-0.9969961047172546,6.257555961608887,2.8528146743774414,2.380051851272583,1.2250120639801025,0.5950129628181458,0.4030839502811432,0.5640615224838257
sim_noisy_imu,forward_mid,456,0.12,1.311042070388794,0.2620929479598999,-0.011052083224058151,0.008250767365098,-0.9969961047172546,6.679908275604248,2.718371629714966,2.208314895629883,1.1593319177627563,0.5520787239074707,0.3998805582523346,0.5779809951782227
sim_noisy_imu,backward_mid,456,-0.12,1.311042070388794,0.2620929479598999,-0.011052083224058151,0.008250767365098,-0.9969961047172546,6.933670997619629,2.7099900245666504,2.6621668338775635,1.1588441133499146,0.6655417084693909,0.40765246748924255,0.6344520449638367
real_xsens_calm,forward_slow,294,0.075,0.4317165017127991,0.001296401023864746,0.008579348213970661,-0.007486309390515089,-0.9999284744262695,6.1143999099731445,2.696610927581787,2.2757303714752197,1.2321012020111084,0.5689325928688049,0.4260002374649048,0.6601458191871643
real_xsens_calm,backward_slow,294,-0.075,0.4317165017127991,0.001296401023864746,0.008579348213970661,-0.007486309390515089,-0.9999284744262695,6.325803756713867,2.760364055633545,2.2915537357330322,1.2037055492401123,0.5728884339332581,0.3558105528354645,0.5668532848358154
real_xsens_calm,forward_mid,294,0.12,0.4317165017127991,0.001296401023864746,0.008579348213970661,-0.007486309390515089,-0.9999284744262695,6.6468305587768555,2.734473466873169,2.394528388977051,1.1375802755355835,0.5986320972442627,0.4018974006175995,0.559999942779541
real_xsens_calm,backward_mid,294,-0.12,0.4317165017127991,0.001296401023864746,0.008579348213970661,-0.007486309390515089,-0.9999284744262695,5.9876813888549805,2.935262441635132,2.311750888824463,1.1615350246429443,0.5779377222061157,0.38821521401405334,0.5399503707885742
real_xsens_dynamic,forward_slow,46,0.075,0.4932180643081665,0.34446144104003906,0.008566686883568764,-0.01197789702564478,-0.9980831742286682,6.710745811462402,3.0354626178741455,1.2635908126831055,0.5128461122512817,0.31589770317077637,0.19481585919857025,0.38574716448783875
real_xsens_dynamic,backward_slow,46,-0.075,0.4932180643081665,0.34446144104003906,0.008566686883568764,-0.01197789702564478,-0.9980831742286682,5.692609786987305,3.0852444171905518,1.8291373252868652,0.7033486366271973,0.4572843313217163,0.2717207372188568,0.4555065631866455
real_xsens_dynamic,forward_mid,46,0.12,0.4932180643081665,0.34446144104003906,0.008566686883568764,-0.01197789702564478,-0.9980831742286682,4.425702095031738,2.8521194458007812,1.1995272636413574,0.6115582585334778,0.29988181591033936,0.20888684689998627,0.33545833826065063
real_xsens_dynamic,backward_mid,46,-0.12,0.4932180643081665,0.34446144104003906,0.008566686883568764,-0.01197789702564478,-0.9980831742286682,4.632575988769531,3.012481927871704,1.665149450302124,0.4601404666900635,0.416287362575531,0.17373406887054443,0.4145095944404602
flat_fake,forward_slow,456,0.075,0.0,0.0,0.0,0.0,-1.0,6.716268062591553,2.781996488571167,2.174021005630493,1.1286026239395142,0.5435052514076233,0.4145723283290863,0.728691577911377
flat_fake,backward_slow,456,-0.075,0.0,0.0,0.0,0.0,-1.0,6.133118629455566,2.669386148452759,2.2143757343292236,1.1562319993972778,0.5535939335823059,0.07409465312957764,0.07999999821186066
flat_fake,forward_mid,456,0.12,0.0,0.0,0.0,0.0,-1.0,6.307310104370117,2.868631362915039,2.21524977684021,1.0989038944244385,0.5538124442100525,0.3703822195529938,0.5068352222442627
flat_fake,backward_mid,456,-0.12,0.0,0.0,0.0,0.0,-1.0,6.3632917404174805,2.7141482830047607,2.197539806365967,1.232015609741211,0.5493849515914917,0.36225566267967224,0.505215048789978
