phase,samples,duration_s_at_50hz,mean_command_vx_mps,mean_actual_vx_body_mps,mean_signed_gap_cmd_minus_actual_mps,mean_absolute_error_mps,rmse_mps,mean_speed_gap_abs_cmd_minus_abs_actual_mps,max_absolute_error_mps,tracking_ratio_actual_over_command,roll_rms_rad,pitch_rms_rad,mean_max_joint_tracking_error_rad,mean_max_abs_applied_torque_nm,mean_saturated_joint_count
forward,549,10.98,0.5,0.82959527108724,-0.32959527108723985,0.34401395424161013,0.35391677990901205,-0.329904933113592,0.5788244933436372,1.65919054217448,0.03198419605842998,0.02392540487359485,0.761319272363301,66.23525298210429,0.2659380692167577
backward,674,13.48,-0.5,-1.023708318725887,0.5237083187258869,0.5280983327775424,0.5362111599111138,-0.5237083187258869,0.7828971370700433,2.047416637451774,0.028258861730327645,0.012261441009864843,0.5933225164505543,54.27148552985624,0.032640949554896145
