step,sim_time,episode_id,episode_step,body_name,body_index,pos_w_x,pos_w_y,pos_w_z,quat_w_w,quat_w_x,quat_w_y,quat_w_z,lin_vel_w_x,lin_vel_w_y,lin_vel_w_z,ang_vel_w_x,ang_vel_w_y,ang_vel_w_z,lin_acc_w_x,lin_acc_w_y,lin_acc_w_z,ang_acc_w_x,ang_acc_w_y,ang_acc_w_z,incoming_joint_force_b_x,incoming_joint_force_b_y,incoming_joint_force_b_z,incoming_joint_torque_b_x,incoming_joint_torque_b_y,incoming_joint_torque_b_z
1,0.02,0,0,trunk,0,0.12230897694826126,-0.49137651920318604,0.4722546339035034,0.9984819293022156,-0.0015041359001770616,2.9408425689325668e-05,-0.055059827864170074,-1.235299825668335,0.16871625185012817,2.244983434677124,1.6434015035629272,-0.1081017479300499,-0.07696104794740677,-107.08839416503906,-8.832403182983398,20.854284286499023,-13.030129432678223,24.213478088378906,-32.30925750732422,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,0,0,BL_hip,1,-0.256799578666687,-0.34860894083976746,0.5445364713668823,0.9984830021858215,9.712332393974066e-05,-5.8890931541100144e-05,-0.05505986511707306,-1.2305656671524048,0.14032039046287537,2.3808884620666504,0.020177524536848068,0.07146508246660233,-0.07713564485311508,-102.52953338623047,5.478906631469727,29.747106552124023,17.47312355041504,20.6871280670166,-32.36858367919922,-127.01598358154297,-10.021058082580566,-382.85198974609375,-3.816657304763794,7.688460350036621,-10.421664237976074
1,0.02,0,0,BR_hip,2,-0.2791490852832794,-0.55063796043396,0.5470344424247742,0.9984831213951111,6.88907311996445e-05,-5.733377474825829e-05,-0.055059853941202164,-1.2462413311004639,0.1380569040775299,2.0463194847106934,-0.03998315706849098,0.07812023162841797,-0.07714211195707321,-108.84796905517578,6.892025947570801,32.88994216918945,-7.039524078369141,23.403717041015625,-32.36842727661133,-340.73284912109375,-215.2125701904297,58.8428955078125,-35.31391143798828,-23.6868896484375,-9.28829288482666
1,0.02,0,0,FL_hip,3,0.523442268371582,-0.43489909172058105,0.5521676540374756,0.9984829425811768,0.0001855622831499204,-6.376736564561725e-05,-0.0550597682595253,-1.2391793727874756,0.062017276883125305,2.3171920776367188,0.19885563850402832,0.05169832706451416,-0.07711642235517502,-105.56391906738281,-22.041397094726562,10.155373573303223,83.83169555664062,13.334397315979004,-32.36845779418945,265.4662170410156,-151.84927368164062,-125.77049255371094,0.6406838893890381,33.12704086303711,-29.432680130004883
1,0.02,0,0,FR_hip,4,0.5010920763015747,-0.6369394659996033,0.5508920550346375,0.9984830021858215,0.00015340304526034743,-6.199318158905953e-05,-0.0550597719848156,-1.2542762756347656,0.0654308870434761,1.9832468032836914,0.1649661660194397,0.05544650927186012,-0.07712005823850632,-111.9366226196289,-20.97036361694336,13.459147453308105,38.895320892333984,18.321022033691406,-32.36551284790039,532.36328125,173.16773986816406,81.64404296875,22.499555587768555,-1.5038083791732788,51.73011016845703
1,0.02,0,0,BL_thigh,5,-0.3492991030216217,-0.33133378624916077,0.5452312231063843,0.9983357191085815,0.0010460595367476344,0.017149796709418297,-0.055049996823072433,-0.8005859851837158,0.10085637122392654,2.064453363418579,-0.8167032599449158,-7.493675231933594,-0.07866092026233673,-98.32819366455078,8.995339393615723,36.390281677246094,18.0519962310791,20.04815673828125,-31.85513687133789,354.8127136230469,22.056541442871094,-452.7236328125,7.187202453613281,32.6835823059082,-6.068325996398926
1,0.02,0,0,BR_thigh,6,-0.3687993288040161,-0.5444753766059875,0.5482531189918518,0.9983442425727844,0.0009900465374812484,0.01664718985557556,-0.05505092069506645,-0.7987750768661499,0.09222802519798279,1.7700954675674438,-0.850601077079773,-7.249618053436279,-0.07820296287536621,-101.325439453125,8.305068969726562,32.49073791503906,-23.433544158935547,-129.91343688964844,-32.364749908447266,566.6865844726562,-225.78311157226562,10.530295372009277,34.86713790893555,-22.453052520751953,-8.91041374206543
1,0.02,0,0,FL_thigh,7,0.6135406494140625,-0.43782228231430054,0.54944908618927,0.9983434081077576,0.0011098312679678202,0.01669776253402233,-0.055048868060112,-0.8702453970909119,0.028802046552300453,2.0404138565063477,-0.7084947228431702,-8.15048599243164,-0.08023231476545334,-98.81080627441406,-19.638540267944336,17.2353458404541,78.05705261230469,-45.017242431640625,-30.624170303344727,484.8430480957031,-81.88365936279297,-151.31858825683594,2.4358298778533936,20.379560470581055,-15.450222969055176
1,0.02,0,0,FR_thigh,8,0.5973085761070251,-0.6513370871543884,0.5483564138412476,0.9983450770378113,0.0010719717247411609,0.016595957800745964,-0.05504951998591423,-0.8869386315345764,0.03365306928753853,1.733332633972168,-0.5022817850112915,-5.976282119750977,-0.07902081310749054,-120.4588851928711,-18.175827026367188,16.71533966064453,50.58515930175781,118.93561553955078,-32.13656234741211,756.154541015625,-241.71499633789062,-58.732818603515625,20.773113250732422,-5.5276689529418945,-28.31189727783203
1,0.02,0,0,BL_calf,9,-0.5160627365112305,-0.18681439757347107,0.2604549825191498,0.9984829425811768,7.879576878622174e-05,-0.00039101613219827414,-0.05505985766649246,0.6319403648376465,-0.047620512545108795,0.8182815313339233,0.3527720868587494,3.0780186653137207,-0.07652956247329712,-65.21788787841797,12.60661506652832,75.99671936035156,-20.1358642578125,-315.7017517089844,-32.74976348876953,-455.08721923828125,-53.481903076171875,121.93738555908203,19.40716552734375,38.15016555786133,-9.56799602508545
