step,sim_time,policy_dt,episode_id,episode_step,episode_reset,reset_reason,reward_total,command_vx,command_vy,command_yaw,command_label,command_segment_id,command_hold_time_s,command_hold_steps,keys_pressed,is_forward,is_backward,is_left,is_right,is_yaw_left,is_yaw_right,is_stop,foot_contact_state,foot_contact_count,FL_contact,FR_contact,BL_contact,BR_contact,FL_contact_force,FR_contact_force,BL_contact_force,BR_contact_force,FL_contact_force_x,FL_contact_force_y,FL_contact_force_z,FR_contact_force_x,FR_contact_force_y,FR_contact_force_z,BL_contact_force_x,BL_contact_force_y,BL_contact_force_z,BR_contact_force_x,BR_contact_force_y,BR_contact_force_z,FL_contact_time,FR_contact_time,BL_contact_time,BR_contact_time,FL_air_time,FR_air_time,BL_air_time,BR_air_time,root_pos_w_x,root_pos_w_y,root_pos_w_z,root_quat_w_w,root_quat_w_x,root_quat_w_y,root_quat_w_z,root_lin_vel_w_x,root_lin_vel_w_y,root_lin_vel_w_z,root_ang_vel_w_x,root_ang_vel_w_y,root_ang_vel_w_z,base_lin_vel_x,base_lin_vel_y,base_lin_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,projected_gravity_x,projected_gravity_y,projected_gravity_z,heading_w,joint_name,joint_index,q,qd,qdd,default_q,default_qd,policy_action_same_index,raw_action_by_joint,processed_action_by_joint,action_scale_cfg,action_offset_cfg,q_target_est,joint_pos_target,joint_vel_target,joint_effort_target,computed_torque_preclip,applied_torque_postclip,torque_clip_delta,torque_abs,torque_utilization,joint_power_signed,joint_power_abs,joint_stiffness,joint_damping,joint_armature,joint_friction_coeff,joint_dynamic_friction_coeff,joint_viscous_friction_coeff,gear_ratio,joint_pos_limit_lower,joint_pos_limit_upper,soft_joint_pos_limit_lower,soft_joint_pos_limit_upper,joint_vel_limit,soft_joint_vel_limit,joint_effort_limit
1,0.02,0.02,0,0,0.0,none,-0.25695347785949707,0.0,0.0,-0.800000011920929,stop,0,0.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BL,1,0.0,0.0,1.0,0.0,0.0,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994169108205824e-07,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.004999999888241291,0.004999999888241291,0.0,0.004999999888241291,0.12230897694826126,-0.49137651920318604,0.4722546339035034,0.9984819293022156,-0.0015041359001770616,2.9408425689325668e-05,-0.055059827864170074,-1.235299825668335,0.16871625185012817,2.244983434677124,1.6434015035629272,-0.1081017479300499,-0.07696104794740677,-1.246120810508728,0.025117816403508186,2.2452023029327393,1.6453150510787964,0.07348152995109558,-0.07691634446382523,-0.00010690736962715164,0.003006943501532078,-0.9999954700469971,-0.11017533391714096,BL_hip_joint,0,-0.0032076085917651653,1.633126139640808,-30.70604705810547,0.0,0.0,0.21938027441501617,0.21938027441501617,0.054845068603754044,0.25,0.0,0.054845068603754044,0.054845068603754044,0.0,0.0,-4.359648704528809,-4.359648704528809,0.0,4.359648704528809,4.359648704528808e-09,-7.119856259017183,7.119856259017183,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7899999618530273,0.7899999618530273,-0.7109999656677246,0.7109999656677246,18.849998474121094,25.0,1000000000.0
1,0.02,0.02,0,0,0.0,none,-0.25695347785949707,0.0,0.0,-0.800000011920929,stop,0,0.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BL,1,0.0,0.0,1.0,0.0,0.0,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994169108205824e-07,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.004999999888241291,0.004999999888241291,0.0,0.004999999888241291,0.12230897694826126,-0.49137651920318604,0.4722546339035034,0.9984819293022156,-0.0015041359001770616,2.9408425689325668e-05,-0.055059827864170074,-1.235299825668335,0.16871625185012817,2.244983434677124,1.6434015035629272,-0.1081017479300499,-0.07696104794740677,-1.246120810508728,0.025117816403508186,2.2452023029327393,1.6453150510787964,0.07348152995109558,-0.07691634446382523,-0.00010690736962715164,0.003006943501532078,-0.9999954700469971,-0.11017533391714096,BR_hip_joint,1,-0.0031508752144873142,1.6936538219451904,-6.043338775634766,0.0,0.0,-0.9429696798324585,-0.9429696798324585,-0.23574241995811462,0.25,0.0,-0.23574241995811462,-0.23574241995811462,0.0,0.0,-27.293310165405273,-27.293310165405273,0.0,27.293310165405273,2.7293310165405273e-08,-46.22541907517416,46.22541907517416,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7899999618530273,0.7899999618530273,-0.7109999656677246,0.7109999656677246,18.849998474121094,25.0,1000000000.0
1,0.02,0.02,0,0,0.0,none,-0.25695347785949707,0.0,0.0,-0.800000011920929,stop,0,0.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BL,1,0.0,0.0,1.0,0.0,0.0,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994169108205824e-07,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.004999999888241291,0.004999999888241291,0.0,0.004999999888241291,0.12230897694826126,-0.49137651920318604,0.4722546339035034,0.9984819293022156,-0.0015041359001770616,2.9408425689325668e-05,-0.055059827864170074,-1.235299825668335,0.16871625185012817,2.244983434677124,1.6434015035629272,-0.1081017479300499,-0.07696104794740677,-1.246120810508728,0.025117816403508186,2.2452023029327393,1.6453150510787964,0.07348152995109558,-0.07691634446382523,-0.00010690736962715164,0.003006943501532078,-0.9999954700469971,-0.11017533391714096,FL_hip_joint,2,0.0033845645375549793,-1.4533579349517822,97.47071075439453,0.0,0.0,-0.17846985161304474,-0.17846985161304474,-0.044617462903261185,0.25,0.0,-0.044617462903261185,-0.044617462903261185,0.0,0.0,5.936944961547852,5.936944961547852,0.0,5.936944961547852,5.936944961547852e-09,-8.628506069237574,8.628506069237574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7899999618530273,0.7899999618530273,-0.7109999656677246,0.7109999656677246,18.849998474121094,25.0,1000000000.0
1,0.02,0.02,0,0,0.0,none,-0.25695347785949707,0.0,0.0,-0.800000011920929,stop,0,0.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BL,1,0.0,0.0,1.0,0.0,0.0,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994169108205824e-07,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.004999999888241291,0.004999999888241291,0.0,0.004999999888241291,0.12230897694826126,-0.49137651920318604,0.4722546339035034,0.9984819293022156,-0.0015041359001770616,2.9408425689325668e-05,-0.055059827864170074,-1.235299825668335,0.16871625185012817,2.244983434677124,1.6434015035629272,-0.1081017479300499,-0.07696104794740677,-1.246120810508728,0.025117816403508186,2.2452023029327393,1.6453150510787964,0.07348152995109558,-0.07691634446382523,-0.00010690736962715164,0.003006943501532078,-0.9999954700469971,-0.11017533391714096,FR_hip_joint,3,0.0033202050253748894,-1.4874540567398071,52.258514404296875,0.0,0.0,0.900236964225769,0.900236964225769,0.22505924105644226,0.25,0.0,0.22505924105644226,0.22505924105644226,0.0,0.0,26.55007553100586,26.55007553100586,0.0,26.55007553100586,2.6550075531005858e-08,-39.492017555342954,39.492017555342954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7899999618530273,0.7899999618530273,-0.7109999656677246,0.7109999656677246,18.849998474121094,25.0,1000000000.0
1,0.02,0.02,0,0,0.0,none,-0.25695347785949707,0.0,0.0,-0.800000011920929,stop,0,0.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BL,1,0.0,0.0,1.0,0.0,0.0,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994169108205824e-07,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.004999999888241291,0.004999999888241291,0.0,0.004999999888241291,0.12230897694826126,-0.49137651920318604,0.4722546339035034,0.9984819293022156,-0.0015041359001770616,2.9408425689325668e-05,-0.055059827864170074,-1.235299825668335,0.16871625185012817,2.244983434677124,1.6434015035629272,-0.1081017479300499,-0.07696104794740677,-1.246120810508728,0.025117816403508186,2.2452023029327393,1.6453150510787964,0.07348152995109558,-0.07691634446382523,-0.00010690736962715164,0.003006943501532078,-0.9999954700469971,-0.11017533391714096,BL_thigh_joint,4,0.034471627324819565,-7.611289978027344,-0.5712509155273438,0.0,0.0,0.2338685393333435,0.2338685393333435,0.058467134833335876,0.25,0.0,0.058467134833335876,0.058467134833335876,0.0,0.0,65.59211730957031,65.59211730957031,0.0,65.59211730957031,6.559211730957032e-08,-499.2406251159264,499.2406251159264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.6799999475479126,1.6799999475479126,-1.5119999647140503,1.5119999647140503,18.849998474121094,22.0,1000000000.0
1,0.02,0.02,0,0,0.0,none,-0.25695347785949707,0.0,0.0,-0.800000011920929,stop,0,0.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BL,1,0.0,0.0,1.0,0.0,0.0,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994169108205824e-07,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.004999999888241291,0.004999999888241291,0.0,0.004999999888241291,0.12230897694826126,-0.49137651920318604,0.4722546339035034,0.9984819293022156,-0.0015041359001770616,2.9408425689325668e-05,-0.055059827864170074,-1.235299825668335,0.16871625185012817,2.244983434677124,1.6434015035629272,-0.1081017479300499,-0.07696104794740677,-1.246120810508728,0.025117816403508186,2.2452023029327393,1.6453150510787964,0.07348152995109558,-0.07691634446382523,-0.00010690736962715164,0.003006943501532078,-0.9999954700469971,-0.11017533391714096,BR_thigh_joint,5,-0.03346170112490654,7.372438430786133,154.18997192382812,0.0,0.0,-0.2960398197174072,-0.2960398197174072,-0.0740099549293518,0.25,0.0,-0.0740099549293518,-0.0740099549293518,0.0,0.0,-59.65065002441406,-59.65065002441406,0.0,59.65065002441406,5.965065002441407e-08,-439.770744661364,439.770744661364,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.6799999475479126,1.6799999475479126,-1.5119999647140503,1.5119999647140503,18.849998474121094,22.0,1000000000.0
1,0.02,0.02,0,0,0.0,none,-0.25695347785949707,0.0,0.0,-0.800000011920929,stop,0,0.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BL,1,0.0,0.0,1.0,0.0,0.0,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994169108205824e-07,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.004999999888241291,0.004999999888241291,0.0,0.004999999888241291,0.12230897694826126,-0.49137651920318604,0.4722546339035034,0.9984819293022156,-0.0015041359001770616,2.9408425689325668e-05,-0.055059827864170074,-1.235299825668335,0.16871625185012817,2.244983434677124,1.6434015035629272,-0.1081017479300499,-0.07696104794740677,-1.246120810508728,0.025117816403508186,2.2452023029327393,1.6453150510787964,0.07348152995109558,-0.07691634446382523,-0.00010690736962715164,0.003006943501532078,-0.9999954700469971,-0.11017533391714096,FL_thigh_joint,6,0.03357589989900589,-8.25222110748291,-58.63227844238281,0.0,0.0,0.4091578722000122,0.4091578722000122,0.10228946805000305,0.25,0.0,0.10228946805000305,0.10228946805000305,0.0,0.0,60.62572479248047,60.62572479248047,0.0,60.62572479248047,6.062572479248047e-08,-500.2968857889573,500.2968857889573,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.6799999475479126,1.6799999475479126,-1.5119999647140503,1.5119999647140503,18.849998474121094,22.0,1000000000.0
1,0.02,0.02,0,0,0.0,none,-0.25695347785949707,0.0,0.0,-0.800000011920929,stop,0,0.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BL,1,0.0,0.0,1.0,0.0,0.0,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994169108205824e-07,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.004999999888241291,0.004999999888241291,0.0,0.004999999888241291,0.12230897694826126,-0.49137651920318604,0.4722546339035034,0.9984819293022156,-0.0015041359001770616,2.9408425689325668e-05,-0.055059827864170074,-1.235299825668335,0.16871625185012817,2.244983434677124,1.6434015035629272,-0.1081017479300499,-0.07696104794740677,-1.246120810508728,0.025117816403508186,2.2452023029327393,1.6453150510787964,0.07348152995109558,-0.07691634446382523,-0.00010690736962715164,0.003006943501532078,-0.9999954700469971,-0.11017533391714096,FR_thigh_joint,7,-0.033368490636348724,6.068524360656738,-101.2899398803711,0.0,0.0,-0.036162957549095154,-0.036162957549095154,-0.009040739387273788,0.25,0.0,-0.009040739387273788,-0.009040739387273788,0.0,0.0,-41.40174102783203,-41.40174102783203,0.0,41.40174102783203,4.140174102783203e-08,-251.24747400100023,251.24747400100023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.6799999475479126,1.6799999475479126,-1.5119999647140503,1.5119999647140503,18.849998474121094,22.0,1000000000.0
1,0.02,0.02,0,0,0.0,none,-0.25695347785949707,0.0,0.0,-0.800000011920929,stop,0,0.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BL,1,0.0,0.0,1.0,0.0,0.0,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994169108205824e-07,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.004999999888241291,0.004999999888241291,0.0,0.004999999888241291,0.12230897694826126,-0.49137651920318604,0.4722546339035034,0.9984819293022156,-0.0015041359001770616,2.9408425689325668e-05,-0.055059827864170074,-1.235299825668335,0.16871625185012817,2.244983434677124,1.6434015035629272,-0.1081017479300499,-0.07696104794740677,-1.246120810508728,0.025117816403508186,2.2452023029327393,1.6453150510787964,0.07348152995109558,-0.07691634446382523,-0.00010690736962715164,0.003006943501532078,-0.9999954700469971,-0.11017533391714096,BL_calf_joint,8,0.03513696789741516,-10.63618278503418,337.91351318359375,0.0,0.0,-1.0979740619659424,-1.0979740619659424,-0.2744935154914856,0.25,0.0,-0.2744935154914856,-0.2744935154914856,0.0,0.0,59.943843841552734,59.943843841552734,0.0,59.943843841552734,5.994384384155273e-08,-637.5736799363003,637.5736799363003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5599998235702515,0.078000009059906,1.4819998741149902,18.849998474121094,22.0,1000000000.0
1,0.02,0.02,0,0,0.0,none,-0.25695347785949707,0.0,0.0,-0.800000011920929,stop,0,0.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BL,1,0.0,0.0,1.0,0.0,0.0,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994169108205824e-07,0.0,2.2284867763519287,0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.004999999888241291,0.004999999888241291,0.0,0.004999999888241291,0.12230897694826126,-0.49137651920318604,0.4722546339035034,0.9984819293022156,-0.0015041359001770616,2.9408425689325668e-05,-0.055059827864170074,-1.235299825668335,0.16871625185012817,2.244983434677124,1.6434015035629272,-0.1081017479300499,-0.07696104794740677,-1.246120810508728,0.025117816403508186,2.2452023029327393,1.6453150510787964,0.07348152995109558,-0.07691634446382523,-0.00010690736962715164,0.003006943501532078,-0.9999954700469971,-0.11017533391714096,BR_calf_joint,9,-0.033872418105602264,10.156187057495117,-43.08605194091797,0.0,0.0,0.7530415058135986,0.7530415058135986,0.18826037645339966,0.25,0.0,0.18826037645339966,0.18826037645339966,0.0,0.0,-55.63935089111328,-55.63935089111328,0.0,55.63935089111328,5.563935089111328e-08,-565.0836554077541,565.0836554077541,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.5599998235702515,0.0,-1.4819998741149902,-0.078000009059906,18.849998474121094,22.0,1000000000.0
